Date,Open,High,Low,Close,Adj Close,Volume
2020-11-20,33200.000000,33250.000000,32750.000000,33000.000000,32445.525391,13693700
2020-11-23,33000.000000,33050.000000,32750.000000,33000.000000,32445.525391,15053100
2020-11-24,33000.000000,33000.000000,32725.000000,32825.000000,32273.464844,14469900
2020-11-25,32900.000000,32925.000000,31900.000000,32050.000000,31511.486328,34028100
2020-11-26,31750.000000,32450.000000,31500.000000,32400.000000,31855.605469,12867800
2020-11-27,32400.000000,32450.000000,31900.000000,31925.000000,31388.587891,17472300
2020-11-30,31925.000000,32000.000000,30675.000000,31025.000000,30503.708984,78618300
2020-12-01,31100.000000,32175.000000,31100.000000,31975.000000,31437.746094,22912700
2020-12-02,32300.000000,32425.000000,31700.000000,32250.000000,31708.126953,18779500
2020-12-03,32500.000000,32625.000000,32125.000000,32300.000000,31757.287109,19642000
2020-12-04,32300.000000,32325.000000,31800.000000,31950.000000,31413.167969,12999100
2020-12-07,32500.000000,32900.000000,32400.000000,32600.000000,32052.246094,19327200
2020-12-08,32600.000000,32600.000000,32125.000000,32450.000000,31904.765625,14112300
2020-12-10,32950.000000,33000.000000,32700.000000,32875.000000,32420.537109,30284100
2020-12-11,33000.000000,33900.000000,32975.000000,33675.000000,33209.476563,42832000
2020-12-14,34000.000000,34150.000000,33975.000000,34100.000000,33628.601563,35957100
2020-12-15,34150.000000,34500.000000,33025.000000,33950.000000,33480.675781,32804900
2020-12-16,34300.000000,34750.000000,34200.000000,34750.000000,34269.617188,27734800
2020-12-17,34825.000000,35000.000000,34100.000000,34675.000000,34195.652344,18384000
2020-12-18,34675.000000,34675.000000,33775.000000,34000.000000,33529.984375,29447700
2020-12-21,34450.000000,34450.000000,34000.000000,34150.000000,33677.910156,18738500
2020-12-22,33700.000000,34100.000000,33550.000000,33575.000000,33110.859375,12358100
2020-12-23,34525.000000,34525.000000,33100.000000,33625.000000,33160.167969,15389600
2020-12-28,33950.000000,34100.000000,33300.000000,33900.000000,33431.367188,12046800
2020-12-29,33875.000000,34050.000000,33700.000000,33825.000000,33357.402344,6842500
2020-12-30,34000.000000,34000.000000,33500.000000,33850.000000,33382.058594,10535100
2021-01-04,34000.000000,34275.000000,33600.000000,34175.000000,33702.566406,9587400
2021-01-05,34300.000000,35450.000000,34250.000000,35450.000000,34959.941406,20966200
2021-01-06,35250.000000,35375.000000,34400.000000,34725.000000,34244.960938,17950700
2021-01-07,35000.000000,35250.000000,34550.000000,34825.000000,34343.578125,14272000
2021-01-08,35175.000000,35400.000000,34875.000000,35250.000000,34762.703125,15006700
2021-01-11,35750.000000,36800.000000,35725.000000,36725.000000,36217.312500,33806900
2021-01-12,36725.000000,36900.000000,35800.000000,35800.000000,35305.101563,19047000
2021-01-13,36225.000000,36375.000000,35350.000000,35600.000000,35107.867188,15316300
2021-01-14,35250.000000,35450.000000,34975.000000,35100.000000,34614.777344,17863900
2021-01-15,35475.000000,35500.000000,34200.000000,34775.000000,34294.269531,17970700
2021-01-18,34775.000000,35625.000000,34225.000000,35600.000000,35107.867188,17268600
2021-01-19,35600.000000,35600.000000,35025.000000,35475.000000,34984.593750,14755400
2021-01-20,35825.000000,36475.000000,35350.000000,35475.000000,34984.593750,21443200
2021-01-21,36400.000000,36500.000000,35300.000000,35375.000000,34885.976563,13285600
2021-01-22,35375.000000,35800.000000,35375.000000,35400.000000,34910.632813,16165800
2021-01-25,36000.000000,36000.000000,35000.000000,35175.000000,34688.742188,15367300
2021-01-26,34775.000000,35000.000000,34100.000000,34100.000000,33628.601563,19731600
2021-01-27,34100.000000,34650.000000,33525.000000,33950.000000,33480.675781,19584000
2021-01-28,33950.000000,34625.000000,33950.000000,34500.000000,34023.074219,20925400
2021-01-29,34500.000000,35000.000000,33800.000000,33800.000000,33332.750000,26552500
2021-02-01,33800.000000,34600.000000,32975.000000,34100.000000,33628.601563,22625800
2021-02-02,34825.000000,34900.000000,34000.000000,34000.000000,33529.984375,17348200
2021-02-03,35000.000000,35000.000000,34125.000000,34125.000000,33653.257813,13458200
2021-02-04,34600.000000,35000.000000,34175.000000,34275.000000,33801.183594,16190100
2021-02-05,34350.000000,34750.000000,34275.000000,34575.000000,34097.035156,10320400
2021-02-08,35250.000000,35275.000000,34400.000000,34600.000000,34121.691406,9120800
2021-02-09,35000.000000,35150.000000,34775.000000,34900.000000,34417.542969,15114800
2021-02-10,35250.000000,35250.000000,34500.000000,34600.000000,34121.691406,8996900
2021-02-11,34925.000000,34925.000000,34200.000000,34400.000000,33924.453125,7385200
2021-02-15,34150.000000,34450.000000,33600.000000,34000.000000,33529.984375,16784400
2021-02-16,34400.000000,34725.000000,34150.000000,34700.000000,34220.308594,9444200
2021-02-17,34450.000000,34800.000000,34250.000000,34500.000000,34023.074219,13202300
2021-02-18,34250.000000,34500.000000,33675.000000,33675.000000,33209.476563,18240800
2021-02-19,33900.000000,34250.000000,33800.000000,34125.000000,33653.257813,14097500
2021-02-22,34500.000000,34700.000000,33950.000000,33950.000000,33480.675781,13782600
2021-02-23,34100.000000,34225.000000,33875.000000,34125.000000,33653.257813,11672000
2021-02-24,34125.000000,34175.000000,33625.000000,33625.000000,33160.167969,14373800
2021-02-25,33700.000000,33850.000000,33400.000000,33525.000000,33061.550781,15737600
2021-02-26,33525.000000,34050.000000,33225.000000,33550.000000,33086.207031,34726300
2021-03-01,34150.000000,35225.000000,34000.000000,35225.000000,34738.050781,41107800
2021-03-02,35600.000000,35800.000000,35000.000000,35075.000000,34590.125000,16289300
2021-03-03,35325.000000,35425.000000,35000.000000,35000.000000,34516.160156,16894000
2021-03-04,34525.000000,35000.000000,33600.000000,33600.000000,33135.515625,24160500
2021-03-05,33600.000000,34625.000000,33600.000000,34000.000000,33529.984375,22374300
2021-03-08,34750.000000,34750.000000,33600.000000,33600.000000,33135.515625,18176600
2021-03-09,33500.000000,33575.000000,33000.000000,33025.000000,32568.462891,27116400
2021-03-10,33600.000000,33600.000000,33100.000000,33525.000000,33061.550781,10060400
2021-03-12,34375.000000,34400.000000,33575.000000,33825.000000,33357.402344,14865600
2021-03-15,34075.000000,34100.000000,33325.000000,33325.000000,32864.316406,11483200
2021-03-16,33550.000000,33550.000000,33100.000000,33125.000000,32667.080078,14151100
2021-03-17,33250.000000,33325.000000,33025.000000,33050.000000,32593.117188,14294900
2021-03-18,33100.000000,33600.000000,33050.000000,33525.000000,33061.550781,14013500
2021-03-19,33850.000000,33850.000000,33125.000000,33800.000000,33332.750000,25170600
2021-03-22,33200.000000,33400.000000,33050.000000,33100.000000,32642.425781,13504700
2021-03-23,33600.000000,33600.000000,32775.000000,32825.000000,32371.228516,25552500
2021-03-24,32575.000000,32750.000000,32100.000000,32200.000000,31754.867188,30410000
2021-03-25,32000.000000,32200.000000,31650.000000,31850.000000,31409.705078,23820300
2021-03-26,31850.000000,32225.000000,31500.000000,32075.000000,31631.595703,26893500
2021-03-29,32050.000000,32575.000000,31800.000000,31800.000000,31360.396484,22674100
2021-03-30,31850.000000,32275.000000,31850.000000,31975.000000,31532.978516,16623100
2021-03-31,31950.000000,31975.000000,30725.000000,31075.000000,30645.419922,44678100
2021-04-01,31075.000000,31350.000000,30775.000000,31125.000000,30694.728516,22457200
2021-04-05,31250.000000,31450.000000,30775.000000,30775.000000,30349.566406,14662300
2021-04-06,30675.000000,30850.000000,30400.000000,30825.000000,30398.875000,16043000
2021-04-07,30775.000000,31375.000000,30675.000000,31250.000000,30818.000000,21581600
2021-04-08,31000.000000,31075.000000,30625.000000,30675.000000,30675.000000,24739500
2021-04-09,31575.000000,31600.000000,30725.000000,31000.000000,31000.000000,23392200
